date,city,mean_t,rh,rainfall
2020-09-24,Ukunda,25.2,81.9,
2020-09-24,Kisumu,23.8,73.3,9.1
2020-09-25,Ukunda,26.5,75.6,
2020-09-25,Kisumu,22.3,80.7,1.0
2020-09-26,Ukunda,26.7,80.8,
2020-09-26,Kisumu,23.3,74.2,6.6
2020-09-27,Ukunda,26.6,78.0,
2020-09-27,Kisumu,23.2,76.1,0.3
2020-09-28,Ukunda,26.8,80.1,
2020-09-28,Kisumu,23.6,75.3,38.1
2020-09-29,Ukunda,27.4,80.0,
2020-09-29,Kisumu,22.0,78.9,16.0
2020-09-30,Ukunda,26.9,79.0,
2020-09-30,Kisumu,22.9,73.4,0.3
2020-10-01,Ukunda,27.4,81.0,
2020-10-01,Kisumu,24.2,70.7,0.3
2020-10-02,Ukunda,27.9,78.1,
2020-10-02,Kisumu,25.6,61.1,0.0
2020-10-03,Ukunda,27.6,77.0,
2020-10-03,Kisumu,26.1,56.3,0.0
2020-10-04,Ukunda,27.6,76.2,
2020-10-04,Kisumu,26.3,62.1,2.8
2020-10-05,Ukunda,27.0,82.5,
2020-10-05,Kisumu,25.4,66.7,9.7
2020-10-06,Ukunda,27.3,77.8,
2020-10-06,Kisumu,25.4,61.0,0.5
2020-10-07,Ukunda,28.1,77.6,
2020-10-07,Kisumu,26.2,57.6,0.0
2020-10-08,Ukunda,27.7,78.8,
2020-10-08,Kisumu,25.4,60.6,5.6
2020-10-09,Ukunda,27.9,78.6,
2020-10-09,Kisumu,25.8,58.5,0.3
2020-10-10,Ukunda,28.0,75.2,
2020-10-10,Kisumu,25.0,64.4,11.2
2020-10-11,Ukunda,27.9,75.6,
2020-10-11,Kisumu,23.9,71.9,0.0
2020-10-12,Ukunda,28.3,77.0,
2020-10-12,Kisumu,24.6,65.7,0.0
2020-10-13,Ukunda,28.6,78.3,
2020-10-13,Kisumu,24.4,69.8,3.6
2020-10-14,Ukunda,28.6,79.7,
2020-10-14,Kisumu,24.1,70.5,5.1
2020-10-15,Ukunda,28.1,76.6,
2020-10-15,Kisumu,24.8,67.3,0.0
2020-10-16,Ukunda,28.0,75.0,
2020-10-16,Kisumu,25.4,63.9,1.5
2020-10-17,Ukunda,27.5,77.4,
2020-10-17,Kisumu,24.5,71.1,0.3
2020-10-18,Ukunda,28.0,75.8,
2020-10-18,Kisumu,24.0,68.4,0.0
2020-10-19,Ukunda,28.2,73.4,
2020-10-19,Kisumu,24.5,68.2,0.5
2020-10-20,Ukunda,27.9,76.3,
2020-10-20,Kisumu,24.0,71.5,20.1
2020-10-21,Ukunda,28.3,76.6,
2020-10-21,Kisumu,23.3,75.8,0.3
2020-10-22,Ukunda,28.6,79.3,
2020-10-22,Kisumu,25.2,66.1,0.3
2020-10-23,Ukunda,28.9,79.0,
